J.uAcm2_0.63_initialCA,¦Ö,Ne,r£¨2+£©,VNe,Mn,Ni,Mg,Ca,Fe,La,Y,In
706.04,1.479,35,0.846,6.2,0.5,0.1,0,0,0.1,0.3,0,0
1776.288095,1.36,34.1,0.882,5.3,0.6,0,0,0.1,0,0.3,0,0
492.0219048,1.477,28.2,0.776,5.4,0,0.4,0.3,0.1,0,0.2,0,0
878.1928571,1.563,27.8,0.758,6.2,0.1,0,0,0.2,0.6,0.1,0,0
2021.171429,1.264,28.9,0.81,3.3,0.2,0,0.4,0.1,0,0.3,0,0
835.8214286,1.453,34.3,0.892,5.5,0,0.1,0,0.2,0.4,0.3,0,0
2705.82381,1.617,28.6,0.706,7,0.5,0,0,0,0.4,0.1,0,0
2334.9,1.458,27.1,0.842,5.5,0.3,0,0,0.2,0.3,0,0.2,0
3741.395238,1.698,25.7,0.648,7.7,0.5,0.1,0,0,0.4,0,0,0
2954.533333,1.479,27.5,0.776,5.9,0.4,0,0,0.2,0.3,0.1,0,0
3087.8,1.383,24.1,0.779,5.1,0.6,0,0.1,0.2,0,0,0.1,0
2250.292857,1.589,28.5,0.712,6.9,0.6,0,0,0,0.3,0.1,0,0
3166.319048,1.488,26.6,0.772,5.8,0.6,0,0.1,0,0.1,0,0.2,0
2890.628571,1.518,26.1,0.753,6.3,0.6,0,0,0.1,0.2,0,0.1,0
3275.842857,1.607,24.9,0.678,6.9,0.5,0,0,0.1,0.4,0,0,0
1169.804762,1.283,20.1,0.782,3.7,0.1,0,0.2,0.5,0.2,0,0,0
1349.940476,1.289,18.3,0.694,3.5,0.3,0,0.4,0.3,0,0,0,0
2621.566667,1.679,25.5,0.682,7.5,0.3,0.2,0,0.1,0.4,0,0,0
2420.833333,1.631,25.5,0.702,7.5,0.5,0.3,0,0.1,0.1,0,0,0
1401.952381,1.354,22.5,0.69,4.1,0.4,0,0.4,0.1,0,0.1,0,0
1453.161905,1.49,30.9,0.824,5.7,0.1,0,0,0.2,0.5,0.2,0,0
2226.171429,1.366,23.3,0.8,5.3,0.5,0.1,0,0.4,0,0,0,0
2065.171429,1.472,30.4,0.774,6,0.6,0.1,0.1,0,0,0.2,0,0
3452.795238,1.499,23.3,0.678,6.1,0.7,0,0.1,0.1,0.1,0,0,0
2588.147619,1.723,26,0.692,8,0.2,0.4,0,0.1,0.3,0,0,0
2457.071429,1.621,27.4,0.682,6.6,0.3,0,0.1,0,0.5,0.1,0,0
1842.695714,1.398,37.9,0.904,5.5,0.5,0,0,0,0.1,0.4,0,0
2704.414286,1.405,26,0.81,5.2,0.6,0,0.1,0.1,0,0,0.2,0
1306.619048,1.305,30.3,0.864,3.9,0,0.2,0.3,0.2,0,0.3,0,0
1144.87619,1.376,25.2,0.702,4,0.2,0.1,0.5,0,0,0.2,0,0
2792.542857,1.546,26.2,0.747,6.4,0.5,0,0,0.1,0.3,0,0.1,0
2552.028571,1.534,28,0.744,6.4,0.5,0,0,0.1,0.3,0.1,0,0
2055.561905,1.754,25.9,0.636,7.9,0.3,0.1,0,0,0.6,0,0,0
4539.738095,1.438,24.6,0.747,5.6,0.7,0,0.1,0.1,0,0,0.1,0
1088.695952,1.442,23.4,0.774,5.4,0.2,0,0,0.4,0.4,0,0,0
2645.966667,1.706,25.9,0.656,7.9,0.5,0.2,0,0,0.3,0,0,0
1236.209524,1.203,25.3,0.916,3.7,0.2,0,0,0.6,0.1,0.1,0,0
3198.842857,1.292,24.1,0.79,4.1,0.4,0,0.2,0.3,0,0.1,0,0
1334.080952,1.498,38.6,0.902,6.2,0.2,0.2,0,0,0.2,0.4,0,0
2046.690476,1.35,25.5,0.842,4.7,0.5,0,0.1,0.2,0,0,0.2,0
1627.87619,1.496,28.4,0.742,5.6,0.2,0.3,0.3,0,0,0.2,0,0
2234.830952,1.476,24.3,0.736,6.3,0.7,0.1,0,0.2,0,0,0,0
3098.495238,1.578,25.1,0.664,7.1,0.9,0,0,0,0.1,0,0,0
838.702381,1.463,31.3,0.78,4.9,0,0.1,0.3,0,0.3,0.3,0,0
3691.171429,1.625,28.1,0.72,7.3,0.4,0.4,0.1,0,0,0.1,0,0
1721.909524,1.484,27.8,0.796,6.2,0.8,0,0,0,0,0,0.2,0
2826.421429,1.504,24.4,0.73,6.4,0.6,0.1,0,0.2,0.1,0,0,0
1469.252381,1.401,19.5,0.6,3.5,0,0.1,0.7,0,0.1,0.1,0,0
1159.580952,1.475,27.2,0.878,5.6,0,0.2,0,0.3,0.3,0,0.2,0
559.1419048,1.56,35.5,0.878,6.7,0,0.4,0,0.1,0.2,0.3,0,0
1327.457143,1.378,35.4,0.862,4.6,0.2,0,0.2,0,0.2,0.4,0,0
2876.628571,1.662,24.7,0.652,7.5,0.5,0.3,0.1,0,0.1,0,0,0
1722.014286,1.491,26.5,0.769,5.7,0.6,0,0,0.2,0.1,0,0,0.1
2277.971429,1.513,24.3,0.758,6.3,0.3,0.2,0,0.3,0.2,0,0,0
866.4680952,1.137,26.3,0.914,2.7,0.1,0,0.2,0.5,0,0.2,0,0
2338.133333,1.507,27.6,0.77,6,0.3,0,0,0.2,0.4,0.1,0,0
1074.154762,1.138,21.1,0.92,3.1,0.1,0,0,0.8,0.1,0,0,0
1533.533333,1.85,26.4,0.67,9.2,0,0.9,0.1,0,0,0,0,0
1749.747619,1.568,24.8,0.728,5.6,0,0.2,0.3,0,0.3,0,0.2,0
3200.733333,1.635,25,0.672,7,0.4,0,0,0.1,0.5,0,0,0
2461.354762,1.405,30.9,0.822,5.7,0.7,0,0,0.1,0,0.2,0,0
2729.038095,1.523,24.6,0.696,6.6,0.8,0,0,0.1,0.1,0,0,0
2700.652381,1.492,30.3,0.76,5.9,0.5,0,0.1,0,0.2,0.2,0,0
2473.002381,1.524,31.8,0.786,6.6,0.6,0.1,0,0,0.1,0.2,0,0
1006.012381,1.709,27.7,0.708,7.7,0,0.7,0.2,0,0,0.1,0,0
2099.414286,1.436,30.1,0.772,5.7,0.7,0,0.1,0,0,0.2,0,0
2680.978571,1.658,23.3,0.62,6.9,0.3,0.2,0.2,0,0.3,0,0,0
3093.142857,1.588,24.7,0.712,6.7,0.3,0.1,0,0.2,0.4,0,0,0
1541.385714,1.359,22.8,0.761,4.6,0.5,0,0.2,0.2,0,0,0.1,0
565.2861905,1.22,20.2,0.736,2.6,0.1,0,0.5,0.3,0,0.1,0,0
1970.902381,1.362,21.9,0.768,4.7,0.3,0,0.1,0.4,0.2,0,0,0
1548.357143,1.745,27.9,0.723,8.1,0.2,0.4,0,0,0.3,0,0.1,0
1836.628571,1.388,34.2,0.876,5.4,0.5,0,0,0.1,0.1,0.3,0,0
2511.914286,1.67,24.9,0.66,7.7,0.5,0.4,0.1,0,0,0,0,0
1568.957143,1.268,22.8,0.772,3.6,0.3,0,0.3,0.3,0,0.1,0,0
2316.861905,1.332,16.5,0.628,3.3,0.1,0.1,0.6,0.2,0,0,0,0
1304.152381,1.296,29.6,0.906,4.4,0.2,0,0,0.4,0.2,0.2,0,0
3094.685714,1.464,25.3,0.754,5.3,0.5,0,0.2,0,0.1,0,0.2,0
2485.419048,1.529,26.2,0.698,6.2,0.5,0.2,0.2,0,0,0.1,0,0
1497.042857,1.475,33.6,0.814,5.6,0.3,0,0.1,0,0.3,0.3,0,0
1306.980952,1.749,30.1,0.736,8.5,0.2,0.6,0,0,0.1,0.1,0,0
2238.02381,1.418,16.2,0.546,3.8,0.2,0.1,0.7,0,0,0,0,0
2505.27619,1.326,34,0.85,4,0.2,0,0.3,0,0.1,0.4,0,0
2129.932545,1.67,25.6,0.654,7.6,0.6,0.1,0,0,0.3,0,0,0
618.5995238,1.396,37.8,0.974,5.4,0,0.3,0,0.2,0.1,0.4,0,0
1461.504762,1.4,26.8,0.924,5.2,0,0.3,0,0.4,0.1,0,0.2,0
2763.692857,1.457,25.6,0.694,5.6,0.7,0,0.2,0,0,0.1,0,0
1020.028095,1.479,32.4,0.79,5.2,0.1,0,0.2,0,0.4,0.3,0,0
1993.957143,1.634,25.3,0.652,7.3,0.7,0,0,0,0.3,0,0,0
2507.616667,1.512,27.9,0.79,6.3,0.7,0,0,0,0.1,0,0.2,0
1297.543571,1.6,31.9,0.76,6.7,0.3,0,0,0,0.5,0.2,0,0
2197.630952,1.543,23.8,0.688,6.6,0.6,0.2,0.1,0.1,0,0,0,0
1716.728571,1.722,24.4,0.61,7.2,0.2,0,0.1,0,0.7,0,0,0
1069.747619,1.406,35.5,0.856,4.7,0.1,0,0.2,0,0.3,0.4,0,0
2973.628571,1.614,22.1,0.616,6.5,0.3,0.3,0.3,0,0.1,0,0,0
2602.052381,1.626,24.4,0.65,7.2,0.6,0.2,0.1,0,0.1,0,0,0
2148.228571,1.638,23.4,0.634,7,0.4,0.3,0.2,0,0.1,0,0,0
2476.316667,1.552,31.9,0.78,6.7,0.5,0.1,0,0,0.2,0.2,0,0
937.5628571,1.244,47.3,1.118,4.1,0,0.1,0,0.1,0.1,0.7,0,0
1623.77619,1.593,25.1,0.77,7.1,0.1,0.5,0,0.3,0.1,0,0,0
852.7857143,1.607,28.3,0.768,6.7,0,0.2,0,0.2,0.5,0.1,0,0
1971.497619,1.586,22,0.622,6.4,0.4,0.3,0.3,0,0,0,0,0
991.4961905,1.334,32.7,0.934,4.7,0,0.3,0.1,0.3,0,0.3,0,0
2137.084286,1.762,25.4,0.65,8.2,0.2,0.5,0.1,0,0.2,0,0,0
1994.590476,1.336,29.5,0.814,3.9,0,0.2,0.4,0.1,0,0.3,0,0
2343.809524,1.368,25,0.694,3.8,0.2,0,0.5,0,0.1,0.2,0,0
597.3004762,1.324,29,0.906,4.6,0,0.3,0.1,0.4,0,0.2,0,0
2822.852381,1.561,28.4,0.718,6.8,0.7,0,0,0,0.2,0.1,0,0
592.2571429,1.51,38.3,0.88,5.9,0.1,0,0,0,0.5,0.4,0,0
979.2633333,1.604,30,0.742,6.4,0,0.3,0.2,0,0.3,0.2,0,0
2017.747619,1.535,29.5,0.841,6.1,0.4,0,0,0,0.3,0,0.3,0
1280.433095,1.395,23.1,0.814,5.1,0.1,0.1,0,0.5,0.3,0,0,0
941.2571429,1.358,26.5,0.882,4.9,0,0.2,0,0.5,0.2,0.1,0,0
2208.6,1.734,25.3,0.656,8.1,0.3,0.5,0.1,0,0.1,0,0,0
1484.047619,1.639,25.7,0.71,7.7,0.5,0.4,0,0.1,0,0,0,0
139.2042857,1.126,34.5,1.02,2.9,0.1,0,0.1,0.4,0,0.4,0,0
1740.469048,1.596,28.2,0.772,6.6,0.4,0,0,0,0.4,0,0.2,0
765.9304762,1.53,27,0.852,6.2,0,0.5,0.1,0.2,0,0,0.2,0
2193.752381,1.544,26.8,0.76,6,0.4,0,0.1,0,0.3,0,0.2,0
1218.135238,1.302,26.3,0.894,4.7,0.2,0.2,0,0.5,0,0.1,0,0
3736.32381,1.468,24.1,0.728,6.1,0.7,0,0,0.2,0.1,0,0,0
